Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

18:28:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:29:04     all    0,06    0,00    0,11    0,03    0,00    0,01    0,00    0,00    0,00   99,79
18:29:04       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:29:04       1    0,10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,90
18:29:04       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:29:04       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:29:04       4    0,20    0,00    0,80    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:29:04       5    0,10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,90
18:29:04       6    0,00    0,00    0,10    0,20    0,00    0,00    0,00    0,00    0,00   99,70
18:29:04       7    0,10    0,00    0,00    0,00    0,00    0,10    0,00    0,00    0,00   99,80

18:29:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:29:14     all    0,06    0,00    0,11    0,01    0,00    0,00    0,00    0,00    0,00   99,81
18:29:14       0    0,00    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00   99,90
18:29:14       1    0,10    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,80
18:29:14       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:29:14       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:29:14       4    0,40    0,00    0,70    0,00    0,00    0,00    0,00    0,00    0,00   98,90
18:29:14       5    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
18:29:14       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:29:14       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

18:29:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:29:24     all    0,06    0,00    0,15    0,03    0,00    0,00    0,00    0,00    0,00   99,76
18:29:24       0    0,00    0,00    0,10    0,20    0,00    0,00    0,00    0,00    0,00   99,70
18:29:24       1    0,10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,90
18:29:24       2    0,10    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,80
18:29:24       3    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
18:29:24       4    0,30    0,00    0,70    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:29:24       5    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
18:29:24       6    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
18:29:24       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

18:29:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:29:34     all    0,06    0,00    0,09    0,03    0,00    0,00    0,00    0,00    0,00   99,82
18:29:34       0    0,10    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00   99,70
18:29:34       1    0,10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,90
18:29:34       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:29:34       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:29:34       4    0,20    0,00    0,70    0,00    0,00    0,00    0,00    0,00    0,00   99,10
18:29:34       5    0,10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,90
18:29:34       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:29:34       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

18:29:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:29:44     all    0,01    0,00    0,08    0,00    0,00    0,00    0,00    0,00    0,00   99,91
18:29:44       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:29:44       1    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
18:29:44       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:29:44       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:29:44       4    0,10    0,00    0,40    0,00    0,00    0,00    0,00    0,00    0,00   99,50
