Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

18:28:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:28:54     all    0,08    0,03    0,10    0,03    0,00    0,00    0,00    0,00    0,00   99,77
18:28:54       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:28:54       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:28:54       2    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,80
18:28:54       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:28:54       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:28:54       5    0,40    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,60
18:28:54       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:28:54       7    0,20    0,00    0,80    0,20    0,00    0,00    0,00    0,00    0,00   98,80

Среднее:  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Среднее:  all    0,08    0,03    0,10    0,03    0,00    0,00    0,00    0,00    0,00   99,77
Среднее:    0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Среднее:    1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Среднее:    2    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,80
Среднее:    3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Среднее:    4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Среднее:    5    0,40    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,60
Среднее:    6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Среднее:    7    0,20    0,00    0,80    0,20    0,00    0,00    0,00    0,00    0,00   98,80
