Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

17:34:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:34:20     all    1,20    0,00    0,70    0,88    0,00    0,06    0,00    0,00    0,00   97,16
17:34:20       0    0,51    0,00    0,51    2,54    0,00    0,00    0,00    0,00    0,00   96,45
17:34:20       1    2,03    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,46
17:34:20       2    1,50    0,00    1,00    0,50    0,00    0,00    0,00    0,00    0,00   97,00
17:34:20       3    1,01    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   98,49
17:34:20       4    2,04    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,45
17:34:20       5    0,51    0,00    1,01    4,04    0,00    0,51    0,00    0,00    0,00   93,94
17:34:20       6    1,52    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,47
17:34:20       7    0,51    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,98

17:34:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:34:22     all    1,07    0,00    0,76    0,76    0,00    0,06    0,00    0,00    0,00   97,35
17:34:22       0    0,51    0,00    1,02    4,06    0,00    0,51    0,00    0,00    0,00   93,91
17:34:22       1    1,51    0,00    1,51    1,51    0,00    0,00    0,00    0,00    0,00   95,48
17:34:22       2    1,53    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,96
17:34:22       3    1,01    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,48
17:34:22       4    1,49    0,00    0,50    0,50    0,00    0,00    0,00    0,00    0,00   97,51
17:34:22       5    0,50    0,00    1,51    0,00    0,00    0,00    0,00    0,00    0,00   97,99
17:34:22       6    2,04    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,45
17:34:22       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

17:34:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:34:24     all    1,13    0,13    0,50    0,95    0,00    0,13    0,00    0,00    0,00   97,16
17:34:24       0    0,51    0,51    0,51    4,55    0,00    0,00    0,00    0,00    0,00   93,94
17:34:24       1    1,52    0,00    0,51    3,03    0,00    0,00    0,00    0,00    0,00   94,95
17:34:24       2    1,50    0,50    1,00    0,00    0,00    0,50    0,00    0,00    0,00   96,50
17:34:24       3    1,01    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,48
17:34:24       4    2,03    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,46
17:34:24       5    0,50    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:34:24       6    1,52    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,97
17:34:24       7    0,50    0,00    0,00    0,00    0,00    0,50    0,00    0,00    0,00   98,99

17:34:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:34:26     all    1,26    0,00    0,69    0,50    0,00    0,06    0,00    0,00    0,00   97,48
17:34:26       0    1,02    0,00    0,51    1,52    0,00    0,00    0,00    0,00    0,00   96,95
17:34:26       1    2,01    0,00    0,50    2,51    0,00    0,00    0,00    0,00    0,00   94,97
17:34:26       2    1,52    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,46
17:34:26       3    0,51    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:34:26       4    1,01    0,00    0,51    0,00    0,00    0,51    0,00    0,00    0,00   97,98
17:34:26       5    0,50    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,50
17:34:26       6    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
17:34:26       7    1,51    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   97,99

17:34:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:34:28     all    1,26    0,00    0,69    1,20    0,00    0,06    0,00    0,00    0,00   96,78
17:34:28       0    0,00    0,00    0,51    7,61    0,00    0,51    0,00    0,00    0,00   91,37
17:34:28       1    2,03    0,00    1,02    1,02    0,00    0,00    0,00    0,00    0,00   95,94
17:34:28       2    0,51    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,49
17:34:28       3    2,53    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   96,97
17:34:28       4    2,53    0,00    1,52    0,00    0,00    0,00    0,00    0,00    0,00   95,96
17:34:28       5    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:34:28       6    2,02    0,00    1,01    1,01    0,00    0,00    0,00    0,00    0,00   95,96
17:34:28       7    0,51    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,99

