Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

17:34:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:34:09     all    0,06    0,00    0,31    0,50    0,00    0,00    0,00    0,00    0,00   99,12
17:34:09       0    0,00    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   99,49
17:34:09       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:34:09       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:34:09       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:34:09       4    0,50    0,00    0,50    3,98    0,00    0,00    0,00    0,00    0,00   95,02
17:34:09       5    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:34:09       6    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:34:09       7    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50

17:34:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:34:11     all    0,31    0,00    0,19    0,38    0,00    0,00    0,00    0,00    0,00   99,12
17:34:11       0    0,50    0,00    0,00    2,50    0,00    0,00    0,00    0,00    0,00   97,00
17:34:11       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:34:11       2    0,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:34:11       3    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:34:11       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:34:11       5    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
17:34:11       6    0,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:34:11       7    0,00    0,00    0,00    0,51    0,00    0,00    0,00    0,00    0,00   99,49

17:34:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:34:13     all    0,13    0,00    1,82    0,38    0,00    0,00    0,00    0,00    0,00   97,68
17:34:13       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:34:13       1    0,00    0,00    0,50    0,50    0,00    0,00    0,00    0,00    0,00   99,00
17:34:13       2    1,01    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   98,49
17:34:13       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:34:13       4    0,00    0,00    0,00    2,50    0,00    0,00    0,00    0,00    0,00   97,50
17:34:13       5    0,00    0,00   13,57    0,00    0,00    0,00    0,00    0,00    0,00   86,43
17:34:13       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:34:13       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

Среднее:  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Среднее:  all    0,17    0,00    0,77    0,42    0,00    0,00    0,00    0,00    0,00   98,64
Среднее:    0    0,17    0,00    0,17    0,84    0,00    0,00    0,00    0,00    0,00   98,83
Среднее:    1    0,00    0,00    0,17    0,17    0,00    0,00    0,00    0,00    0,00   99,67
Среднее:    2    0,50    0,00    0,17    0,00    0,00    0,00    0,00    0,00    0,00   99,33
Среднее:    3    0,00    0,00    0,17    0,00    0,00    0,00    0,00    0,00    0,00   99,83
Среднее:    4    0,17    0,00    0,17    2,17    0,00    0,00    0,00    0,00    0,00   97,50
Среднее:    5    0,33    0,00    5,02    0,00    0,00    0,00    0,00    0,00    0,00   94,65
Среднее:    6    0,17    0,00    0,17    0,00    0,00    0,00    0,00    0,00    0,00   99,67
Среднее:    7    0,00    0,00    0,17    0,17    0,00    0,00    0,00    0,00    0,00   99,66
