procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 734264 4363880  50216 900028  230  476  6517   545  885 1023  6  9 83  2  0
 1  0 734264 4343244  50352 900048    2    0     2   204 4565 5679  1  1 97  1  0
 0  0 734244 4320844  50488 900076   10    0    10   172 4244 5252  1  1 97  1  0
 2  0 734244 4294888  50584 900088    0    0     0   128 4281 5345  1  1 97  1  0
 1  0 734244 4275008  50688 900104    0    0     0   162 4202 5211  1  1 97  1  0
 0  1 734244 4252076  50816 900120    0    0     0   212 4431 5585  1  1 97  1  0
 0  0 734244 4225112  50936 900136    0    0     0   182 4235 5239  1  1 97  1  0
 0  0 734244 4200444  51112 900144    0    0     0   220 4207 5180  1  1 97  1  0
 0  0 734244 4175776  51208 900164    0    0     0   146 4217 5172  1  1 97  1  0
 0  0 733488 4154104  51280 900256  534    0   572   132 4365 5381  1  1 97  1  0
 0  0 733488 4134224  51376 900268    0    0     0   164 4244 5294  1  1 97  1  0
 2  0 733488 4113560  51424 900252    0    0     0    68 4052 5026  1  1 98  0  0
 0  0 733488 4090124  51592 900272    0    0     0   212 4267 5381  1  1 97  1  0
 0  0 733488 4063440  51688 900312    0    0     0   136 4250 5281  1  1 98  1  0
 1  0 733488 4037008  51792 900316    0    0     0   130 4211 5297  1  1 97  1  0
 0  0 733480 4009036  51928 900300   24    0    24   170 4387 5459  1  1 97  1  0
 1  0 733460 3985600  52032 900352   62    0    62   158 4362 5465  1  1 97  1  0
 0  0 733460 3963676  52152 900368    0    0     0   154 4319 5475  1  1 97  1  0
 0  0 733460 3946036  52264 900388    0    0     0   150 4192 5250  1  1 97  1  0
 0  0 733460 3925372  52336 900396    6    0     6   116 4190 5210  1  1 98  0  0
 0  0 733460 3902188  52480 900404    0    0     0   188 4273 5445  1  1 97  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 733456 3876736  52536 900424    2    0     2    92 4137 5138  1  1 98  1  0
 0  0 733452 3850808  52956 902220   68    0  1092   224 4488 5680  1  1 97  1  0
 0  0 733452 3828408  53092 902232    0    0     0   172 4205 5294  1  1 97  1  0
 0  0 733452 3804840  53220 902248    4    0     4   220 4128 5106  1  1 98  1  0
 0  0 733452 3778380  53292 902256    2    0     2   212 4107 5228  1  1 97  1  0
 0  0 733368 3753432  53396 902276   12    0    12   142 4110 5215  1  1 97  1  0
 0  0 733368 3732516  53540 902300    0    0     2   200 4002 5051  1  1 97  1  0
 0  0 733368 3709864  53612 902316    0    0     0    98 3830 4771  1  1 98  0  0
 0  1 733368 3683656  53724 902324    2    0     2   170 4088 5175  1  1 97  1  0
 0  0 733316 3656976  53788 902344   24    0    24    94 4249 5424  1  1 97  1  0
 0  0 733316 3633348  53876 902356    4    0     4   126 4208 5104  1  1 98  1  0
 0  0 733316 3609944  53988 902368    0    0     0   166 4272 5345  1  1 98  1  0
 0  0 733316 3585500  54124 902380    0    0     0   168 4285 5329  1  1 97  1  0
 0  0 733308 3562376  54268 902428   22    0    36   178 4379 5485  1  1 97  1  0
 0  1 733308 3540452  54372 902444    0    0     0   166 4224 5257  1  1 97  1  0
 1  0 733308 3531916  54508 902456    0    0     0   178 4248 5252  1  1 97  1  0
 0  0 733308 3515600  54636 902440    0    0     0   166 4298 5337  1  1 97  1  0
 0  0 733308 3493704  54692 902468    0    0     0    80 4187 5238  1  1 98  1  0
 0  0 733308 3472284  54844 902504    0    0     0   198 4488 5757  1  1 97  1  0
 0  0 733308 3449636  54892 902512    0    0     0   124 4241 5316  1  1 98  1  0
 0  0 733308 3422636  54956 902528    0    0     0   106 4155 5161  1  1 97  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 733308 3398444  55012 902536    0    0     0    96 4206 5287  1  1 97  1  0
 0  0 733308 3378060  55124 902484    0    0     0   140 4304 5486  1  1 97  1  0
 0  0 733308 3355884  55260 902520    0    0     0   182 4224 5266  1  1 97  1  0
 0  0 733308 3334492  55316 902576    0    0     0   100 4283 5315  1  1 97  1  0
 0  1 733260 3310328  55428 902600   22    0    22   162 4448 5462  1  1 97  1  0
 0  0 733260 3287144  55564 902620    0    0     0   176 4289 5339  1  1 97  1  0
 0  0 733260 3263232  55652 902632    0    0     0   124 4160 5130  1  1 98  1  0
 0  0 733260 3236772  55724 902640    0    0     0   108 4187 5154  1  1 97  1  0
