procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 732764 1912684  62816 905696  177  365  4994   422  793  926  5  7 86  2  0
 0  0 732764 1884236  62872 905728    0    0     0    90 4337 5226  1  1 97  0  0
 0  0 732764 1857300  63048 905748    2    0     2   252 4488 5574  2  1 96  1  0
 0  0 732764 1833612  63160 905760    0    0     0   168 4320 5444  1  1 97  1  0
 1  0 732760 1808160  63248 905772    2    0     2   124 4310 5349  1  1 97  1  0
 1  0 732760 1785256  63376 905788    0    0     0   194 4296 5231  1  1 97  1  0
 1  0 732760 1763404  63512 905796    0    0     0   180 4067 4984  1  1 97  1  0
 0  0 732760 1741228  63584 905820    0    0     0   118 4458 5513  1  1 97  0  0
 1  0 732760 1716252  63664 905828    0    0     0   138 4283 5229  2  1 97  1  0
 0  0 732760 1691116  63808 905840    0    0     0   178 4308 5330  2  1 97  1  0
 0  0 732760 1669192  63952 905864    0    0     0   212 4198 5149  1  1 97  1  0
 0  0 732760 1643640  64072 905876    0    0     0   158 4256 5189  1  1 97  1  0
 0  0 732760 1619700  64152 905888    0    0     0   122 4216 5185  2  1 97  0  0
 0  0 732760 1596264  64224 905908    0    0     0   136 4186 5171  1  1 97  1  0
 1  0 732760 1571568  64280 905920    0    0     0    82 4341 5314  2  1 97  1  0
 0  0 732760 1543848  64424 905932    0    0     0   188 4198 5114  1  1 97  1  0
 0  0 732760 1520412  64600 905952    0    0     0   262 4546 5678  2  1 96  2  0
 0  0 732760 1495716  64728 905968    0    0     0   166 4182 5009  1  1 97  1  0
 0  0 732760 1470012  64880 905984    0    0     0   238 4340 5344  2  1 97  1  0
 0  0 732756 1445316  64956 906052   34    0    64   104 4235 5223  2  1 97  1  0
 0  0 732756 1419360  65044 906060    0    0     0   130 4224 5199  1  1 97  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 732756 1394440  65148 906076    0    0     0   172 4256 5264  2  1 97  1  0
 3  0 732756 1391948  65244 906092    0    0     0   132 4280 5334  2  1 97  1  0
 0  0 732748 1391948  65284 906100   10    0    10    58 3997 4896  1  1 98  0  0
 0  1 732748 1379376  65340 906112    0    0     0    94 4063 4984  2  1 97  0  0
 0  0 732744 1362492  65460 906128    4    0     4   150 4275 5315  1  1 97  1  0
 0  0 732744 1340316  65604 906148    0    0     0   196 4330 5409  2  1 97  1  0
 0  0 732744 1319984  65668 906156    0    0     0   110 4098 5041  1  1 98  1  0
 0  0 732744 1297612  65756 906168    0    0     0   120 4094 5101  1  1 98  1  0
 0  0 732744 1273924  65908 906184    2    0     2   200 4232 5438  2  1 97  1  0
 0  0 732744 1252028  66036 906184    0    0     0   190 4382 5526  2  1 97  1  0
