Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

17:38:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:24       3    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:38:24       4    1,51    0,00    0,50    0,50    0,00    0,50    0,00    0,00    0,00   96,98
17:38:24       5    2,53    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,46
17:38:24       6    1,52    0,00    1,02    2,54    0,00    0,00    0,00    0,00    0,00   94,92
17:38:24       7    1,50    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   98,00

17:38:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:26     all    1,64    0,06    0,50    0,94    0,00    0,13    0,00    0,00    0,00   96,73
17:38:26       0    4,06    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   94,92
17:38:26       1    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:38:26       2    2,51    0,00    0,50    1,01    0,00    0,00    0,00    0,00    0,00   95,98
17:38:26       3    0,00    0,50    0,50    0,00    0,00    0,50    0,00    0,00    0,00   98,50
17:38:26       4    0,50    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:38:26       5    2,51    0,00    0,50    0,50    0,00    0,50    0,00    0,00    0,00   95,98
17:38:26       6    1,52    0,00    0,51    6,06    0,00    0,00    0,00    0,00    0,00   91,92
17:38:26       7    1,01    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,48

17:38:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:28     all    1,51    0,00    0,82    0,82    0,00    0,06    0,00    0,00    0,00   96,79
17:38:28       0    1,52    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,47
17:38:28       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:38:28       2    2,04    0,00    0,51    3,06    0,00    0,00    0,00    0,00    0,00   94,39
17:38:28       3    3,02    0,00    1,51    0,00    0,00    0,00    0,00    0,00    0,00   95,48
17:38:28       4    3,02    0,00    0,50    2,51    0,00    0,00    0,00    0,00    0,00   93,97
17:38:28       5    2,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,98
17:38:28       6    0,00    0,00    1,50    1,00    0,00    0,50    0,00    0,00    0,00   97,00
17:38:28       7    0,51    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,98

17:38:28     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:30     all    1,45    0,00    0,82    0,94    0,00    0,06    0,00    0,00    0,00   96,73
17:38:30       0    3,52    0,00    1,01    0,00    0,00    0,50    0,00    0,00    0,00   94,97
17:38:30       1    1,51    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,49
17:38:30       2    3,52    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,48
17:38:30       3    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:38:30       4    1,01    0,00    1,01    6,06    0,00    0,00    0,00    0,00    0,00   91,92
17:38:30       5    1,01    0,00    0,50    0,50    0,00    0,00    0,00    0,00    0,00   97,99
17:38:30       6    1,01    0,00    1,52    1,01    0,00    0,00    0,00    0,00    0,00   96,46
17:38:30       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

17:38:30     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:32     all    1,39    0,00    0,57    0,82    0,00    0,06    0,00    0,00    0,00   97,16
17:38:32       0    0,51    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00   98,48
17:38:32       1    3,02    0,00    0,50    0,50    0,00    0,00    0,00    0,00    0,00   95,98
17:38:32       2    1,52    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,98
17:38:32       3    0,51    0,00    0,51    0,00    0,00    0,51    0,00    0,00    0,00   98,48
17:38:32       4    1,53    0,00    0,51    4,08    0,00    0,00    0,00    0,00    0,00   93,88
17:38:32       5    2,51    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   96,98
17:38:32       6    1,01    0,00    1,01    1,52    0,00    0,00    0,00    0,00    0,00   96,46
17:38:32       7    0,50    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   98,99

17:38:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:34     all    1,51    0,06    0,63    0,44    0,00    0,00    0,00    0,00    0,00   97,35
17:38:34       0    0,50    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,49
17:38:34       1    2,55    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   96,94
17:38:34       2    1,01    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,48
17:38:34       3    2,53    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00   96,46
17:38:34       4    0,50    0,50    0,50    3,00    0,00    0,00    0,00    0,00    0,00   95,50
17:38:34       5    3,02    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   96,48
17:38:34       6    2,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,98
17:38:34       7    0,00    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   99,49

17:38:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:36     all    1,45    0,06    0,57    0,57    0,00    0,06    0,00    0,00    0,00   97,28
17:38:36       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:38:36       1    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
17:38:36       2    2,04    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,45
17:38:36       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:38:36       4    1,51    0,00    1,01    3,52    0,00    0,00    0,00    0,00    0,00   93,97
17:38:36       5    1,52    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,97
17:38:36       6    0,50    0,50    1,00    1,00    0,00    0,50    0,00    0,00    0,00   96,50
17:38:36       7    4,06    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   95,43

17:38:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:38     all    1,45    0,00    0,63    0,44    0,00    0,13    0,00    0,00    0,00   97,35
17:38:38       0    1,52    0,00    1,01    0,00    0,00    0,51    0,00    0,00    0,00   96,97
17:38:38       1    1,02    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,48
17:38:38       2    4,04    0,00    1,01    0,51    0,00    0,00    0,00    0,00    0,00   94,44
17:38:38       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:38:38       4    3,05    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   95,94
17:38:38       5    1,01    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   98,49
17:38:38       6    1,02    0,00    1,02    3,05    0,00    0,00    0,00    0,00    0,00   94,92
17:38:38       7    0,00    0,00    0,00    0,00    0,00    0,50    0,00    0,00    0,00   99,50

17:38:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:40     all    1,26    0,00    0,63    0,76    0,00    0,00    0,00    0,00    0,00   97,35
17:38:40       0    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
17:38:40       1    2,53    0,00    1,01    0,51    0,00    0,00    0,00    0,00    0,00   95,96
17:38:40       2    2,01    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   97,49
17:38:40       3    0,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:38:40       4    2,03    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00   96,95
17:38:40       5    1,02    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00   97,97
17:38:40       6    0,00    0,00    0,50    4,52    0,00    0,00    0,00    0,00    0,00   94,97
17:38:40       7    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99

