Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

17:37:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:01     all    0,63    0,00    0,19    0,31    0,00    0,00    0,00    0,00    0,00   98,87
17:38:01       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:38:01       1    2,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,99
17:38:01       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:38:01       3    0,00    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00   99,50
17:38:01       4    0,00    0,00    0,50    2,00    0,00    0,00    0,00    0,00    0,00   97,50
17:38:01       5    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,01
17:38:01       6    0,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:38:01       7    1,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,50

17:38:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:03     all    0,31    0,00    0,13    0,50    0,00    0,00    0,00    0,00    0,00   99,06
17:38:03       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:38:03       1    2,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,50
17:38:03       2    0,00    0,00    0,50    3,98    0,00    0,00    0,00    0,00    0,00   95,52
17:38:03       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:38:03       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:38:03       5    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:38:03       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:38:03       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

17:38:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:05     all    0,44    0,00    0,19    1,06    0,00    0,00    0,00    0,00    0,00   98,31
17:38:05       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:38:05       1    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:38:05       2    0,00    0,00    0,00    7,04    0,00    0,00    0,00    0,00    0,00   92,96
17:38:05       3    1,99    0,00    0,50    0,50    0,00    0,00    0,00    0,00    0,00   97,01
17:38:05       4    0,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:38:05       5    0,00    0,00    1,00    0,50    0,00    0,00    0,00    0,00    0,00   98,51
17:38:05       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:38:05       7    0,00    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00   99,50

Среднее:  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Среднее:  all    0,46    0,00    0,17    0,63    0,00    0,00    0,00    0,00    0,00   98,75
Среднее:    0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Среднее:    1    1,84    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,16
Среднее:    2    0,00    0,00    0,17    3,67    0,00    0,00    0,00    0,00    0,00   96,16
Среднее:    3    0,67    0,00    0,17    0,33    0,00    0,00    0,00    0,00    0,00   98,83
Среднее:    4    0,17    0,00    0,17    0,67    0,00    0,00    0,00    0,00    0,00   99,00
Среднее:    5    0,33    0,00    0,83    0,17    0,00    0,00    0,00    0,00    0,00   98,67
Среднее:    6    0,17    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,83
Среднее:    7    0,50    0,00    0,00    0,17    0,00    0,00    0,00    0,00    0,00   99,33
