Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

17:55:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:55:14     all    0,13    0,00    0,13    0,05    0,00    0,00    0,00    0,00    0,00   99,70
17:55:14       0    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,80
17:55:14       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:55:14       2    0,00    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00   99,80
17:55:14       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:55:14       4    0,20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,80
17:55:14       5    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,80
17:55:14       6    0,20    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00   99,60
17:55:14       7    0,60    0,00    0,60    0,00    0,00    0,00    0,00    0,00    0,00   98,80

Среднее:  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Среднее:  all    0,13    0,00    0,13    0,05    0,00    0,00    0,00    0,00    0,00   99,70
Среднее:    0    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,80
Среднее:    1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Среднее:    2    0,00    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00   99,80
Среднее:    3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Среднее:    4    0,20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,80
Среднее:    5    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,80
Среднее:    6    0,20    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00   99,60
Среднее:    7    0,60    0,00    0,60    0,00    0,00    0,00    0,00    0,00    0,00   98,80
