Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

17:55:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:55:24     all    0,06    0,00    0,14    0,03    0,00    0,00    0,00    0,00    0,00   99,77
17:55:24       0    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
17:55:24       1    0,10    0,00    0,30    0,00    0,00    0,00    0,00    0,00    0,00   99,60
17:55:24       2    0,00    0,00    0,10    0,20    0,00    0,00    0,00    0,00    0,00   99,70
17:55:24       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:55:24       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:55:24       5    0,20    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,70
17:55:24       6    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
17:55:24       7    0,20    0,00    0,40    0,00    0,00    0,00    0,00    0,00    0,00   99,40

17:55:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:55:34     all    0,05    0,00    0,11    0,04    0,00    0,00    0,00    0,00    0,00   99,80
17:55:34       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:55:34       1    0,10    0,00    0,60    0,10    0,00    0,00    0,00    0,00    0,00   99,20
17:55:34       2    0,00    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00   99,80
17:55:34       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:55:34       4    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
17:55:34       5    0,20    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,70
17:55:34       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:55:34       7    0,10    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,80

17:55:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:55:44     all    0,04    0,00    0,13    0,03    0,00    0,00    0,00    0,00    0,00   99,81
17:55:44       0    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
17:55:44       1    0,20    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,30
17:55:44       2    0,00    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00   99,90
17:55:44       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:55:44       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:55:44       5    0,10    0,00    0,10    0,10    0,00    0,00    0,00    0,00    0,00   99,70
17:55:44       6    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
17:55:44       7    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,80

17:55:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:55:54     all    0,06    0,00    0,11    0,01    0,00    0,00    0,00    0,00    0,00   99,81
17:55:54       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:55:54       1    0,10    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,40
17:55:54       2    0,10    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00   99,80
17:55:54       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:55:54       4    0,10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,90
17:55:54       5    0,10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,90
17:55:54       6    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
17:55:54       7    0,10    0,00    0,30    0,00    0,00    0,00    0,00    0,00    0,00   99,60

17:55:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:56:04     all    0,03    0,00    0,10    0,04    0,00    0,00    0,00    0,00    0,00   99,84
17:56:04       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:04       1    0,10    0,00    0,30    0,10    0,00    0,00    0,00    0,00    0,00   99,50
17:56:04       2    0,00    0,00    0,10    0,20    0,00    0,00    0,00    0,00    0,00   99,70
17:56:04       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:04       4    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
17:56:04       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:04       6    0,10    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,80
17:56:04       7    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,80

17:56:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:56:14     all    0,04    0,00    0,01    0,03    0,00    0,00    0,00    0,00    0,00   99,92
17:56:14       0    0,00    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00   99,90
17:56:14       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:14       2    0,00    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00   99,90
17:56:14       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:14       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:14       5    0,10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,90
17:56:14       6    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
17:56:14       7    0,20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,80

17:56:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:56:24     all    0,00    0,00    0,03    0,05    0,00    0,01    0,00    0,00    0,00   99,91
17:56:24       0    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
17:56:24       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:24       2    0,00    0,00    0,10    0,20    0,00    0,00    0,00    0,00    0,00   99,70
17:56:24       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:24       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:24       5    0,00    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00   99,80
17:56:24       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:24       7    0,00    0,00    0,00    0,00    0,00    0,10    0,00    0,00    0,00   99,90

17:56:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:56:34     all    0,00    0,00    0,01    0,03    0,00    0,00    0,00    0,00    0,00   99,96
17:56:34       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:34       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:34       2    0,00    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00   99,90
17:56:34       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:34       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:34       5    0,00    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00   99,90
17:56:34       6    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
17:56:34       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

17:56:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:56:44     all    0,03    0,00    0,01    0,03    0,00    0,00    0,00    0,00    0,00   99,94
17:56:44       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:44       1    0,10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,90
17:56:44       2    0,10    0,00    0,10    0,20    0,00    0,00    0,00    0,00    0,00   99,60
17:56:44       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:56:44       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
