procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 866792 4731564  15208 693816  808  981  3562  1022  647  668  3  5 91  2  0
 0  0 866792 4731732  15216 693836    0    0     0    15  288  181  0  0 100  0  0
 0  0 866792 4731604  15224 693836    0    0     0     4  286  171  0  0 100  0  0
 0  0 866792 4731380  15232 693836    2    0     2     2  266  165  0  0 100  0  0
 0  0 866792 4731156  15244 693892    5    0    11     2  269  164  0  0 100  0  0
 0  0 866792 4730932  15252 693892    2    0     2     4  237  142  0  0 100  0  0
 0  0 866792 4730516  15260 693896    0    0     0     4  187  110  0  0 100  0  0
 0  0 866792 4730292  15268 693896    0    0     0     4  177  108  0  0 100  0  0
 1  0 866792 4730068  15276 693896    1    0     1     2  171  100  0  0 100  0  0
 0  0 866792 4730196  15284 693896    1    0     1     2  189  117  0  0 100  0  0
 0  0 866792 4729972  15300 693900    3    0     3    14  189  112  0  0 100  0  0
 0  0 866792 4730004  15308 693900    0    0     0     3  191  117  0  0 100  0  0
 0  0 866792 4729588  15316 693900    1    0     1     2  201  121  0  0 100  0  0
 0  0 866792 4729620  15324 693900    0    0     0     2  168   97  0  0 100  0  0
 0  0 866792 4729396  15332 693904    0    0     0     4  175  104  0  0 100  0  0
 0  0 866792 4729396  15340 693904    0    0     0     2  191  116  0  0 100  0  0
 0  0 866792 4729396  15348 693904    0    0     0     2  178  104  0  0 100  0  0
 1  0 866792 4729396  15356 693904    0    0     0     3  177  101  0  0 100  0  0
 0  0 866792 4729428  15368 693908    2    0     2     5  183  113  0  0 100  0  0
 0  0 866792 4729428  15376 693908    1    0     1     3  167  104  0  0 100  0  0
 0  0 866792 4729428  15384 693908    0    0     0     5  173  102  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 866792 4729236  15392 693908    0    0     0     2  174   99  0  0 100  0  0
 0  0 866792 4729172  15400 694668    3    0    79     2  179  116  0  0 100  0  0
 0  0 866792 4728948  15408 694672    0    0     0     4  182  108  0  0 100  0  0
