Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

18:12:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:12:19     all    0,05    0,00    0,11    0,04    0,00    0,00    0,00    0,00    0,00   99,80
18:12:19       0    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
18:12:19       1    0,30    0,00    0,60    0,00    0,00    0,00    0,00    0,00    0,00   99,10
18:12:19       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:12:19       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:12:19       4    0,00    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00   99,80
18:12:19       5    0,10    0,00    0,10    0,10    0,00    0,00    0,00    0,00    0,00   99,70
18:12:19       6    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
18:12:19       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

18:12:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:12:29     all    0,05    0,00    0,13    0,01    0,00    0,00    0,00    0,00    0,00   99,81
18:12:29       0    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
18:12:29       1    0,30    0,00    0,70    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:12:29       2    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
18:12:29       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:12:29       4    0,00    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00   99,90
18:12:29       5    0,10    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,80
18:12:29       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:12:29       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

18:12:29     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:12:39     all    0,03    0,00    0,15    0,03    0,00    0,00    0,00    0,00    0,00   99,80
18:12:39       0    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90
18:12:39       1    0,10    0,00    0,70    0,10    0,00    0,00    0,00    0,00    0,00   99,10
18:12:39       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:12:39       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:12:39       4    0,00    0,00    0,10    0,10    0,00    0,00    0,00    0,00    0,00   99,80
18:12:39       5    0,10    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,70
18:12:39       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:12:39       7    0,00    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,90

