procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 866536 4727296  16112 694788  537  651  2366   679  438  448  2  3 94  1  0
 1  0 866536 4727612  16120 694820    1    0     1     8  283  173  0  0 100  0  0
 1  0 866536 4727388  16128 694820    1    0     1     2  272  168  0  0 100  0  0
 0  0 866536 4727164  16136 694820    0    0     0     6  258  160  0  0 100  0  0
 0  0 866536 4727164  16144 694820    0    0     0     2  233  141  0  0 100  0  0
 0  0 866536 4726940  16152 694820    4    0     4     2  175   95  0  0 100  0  0
 1  0 866536 4726748  16160 694824    2    0     2     3  179  103  0  0 100  0  0
 1  0 866536 4726780  16168 694824    0    0     0     3  173  105  0  0 100  0  0
 1  0 866536 4726780  16176 694824    0    0     0     2  171  103  0  0 100  0  0
 1  0 866536 4726780  16184 694824    1    0     1     2  166   96  0  0 100  0  0
 1  0 866536 4726812  16192 694828    0    0     0     4  169  100  0  0 100  0  0
 1  0 866536 4726620  16200 694828    0    0     0     3  178  100  0  0 100  0  0
 1  0 866536 4726620  16208 694828    0    0     0     2  173   95  0  0 100  0  0
 1  0 866536 4726620  16216 694828    0    0     0     2  172  103  0  0 100  0  0
 1  0 866536 4726396  16224 694832    0    0     0     4  168   98  0  0 100  0  0
 0  0 866536 4726396  16232 694832    0    0     0     3  166   89  0  0 100  0  0
 0  0 866536 4726428  16240 694832    1    0     1     2  174  100  0  0 100  0  0
 0  0 866536 4726716  16248 694832    1    0     1     2  175  101  0  0 100  0  0
 0  0 866536 4725988  16268 694840    0    0     0    31  209  119  0  0 100  0  0
 0  0 866536 4725988  16276 694840    0    0     0     3  172  101  0  0 100  0  0
 0  0 866536 4726052  16284 694840    0    0     0     2  188  104  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 866536 4726116  16292 694840    1    0     1     8  181  101  0  0 100  0  0
 0  0 866536 4726116  16300 694840    0    0     0     2  171   98  0  0 100  0  0
 0  0 866536 4726116  16308 694844    1    0     1     3  175  101  0  0 100  0  0
 0  0 866536 4726116  16316 694844    2    0     2     4  181  102  0  0 100  0  0
 0  0 866280 4726116  16324 694844    1    0     1     4  177  106  0  0 100  0  0
 0  0 866280 4726148  16332 694844    1    0     1     2  185  116  0  0 100  0  0
 0  0 866280 4726148  16340 694848    0    0     0     3  172   99  0  0 100  0  0
 0  0 866280 4726148  16364 694848    0    0     0    12  180  105  0  0 100  0  0
 0  0 866280 4726180  16372 694848    0    0     0     8  180   98  0  0 100  0  0
 0  0 866280 4727120  16384 694880    1    0     4    28  204  110  0  0 100  0  0
 0  0 866280 4727120  16396 694884    0    0     0     6  173  102  0  0 100  0  0
 0  0 866280 4726896  16404 694884    0    0     0     4  169   96  0  0 100  0  0
 0  0 866280 4726896  16412 694884    0    0     0     9  164   90  0  0 100  0  0
 0  0 866280 4726672  16420 694884    0    0     0     2  169   96  0  0 100  0  0
 0  0 866280 4726672  16428 694888    0    0     0     4  168   99  0  0 100  0  0
 0  0 866280 4726704  16436 694888    0    0     0     3  181  100  0  0 100  0  0
 0  0 866280 4726704  16444 694888    0    0     0     4  171  102  0  0 100  0  0
 0  0 866280 4726704  16452 694888    0    0     0     2  170   94  0  0 100  0  0
 0  0 866280 4726704  16460 694892    0    0     0     4  165   95  0  0 100  0  0
 0  0 866280 4726704  16468 694892    0    0     0     3  165  100  0  0 100  0  0
 0  0 866280 4726704  16476 694892    0    0     0     4  169   97  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 866280 4726480  16484 694892    0    0     0     2  179   99  0  0 100  0  0
 0  0 866280 4726480  16492 694892    0    0     0     2  172  105  0  0 100  0  0
 0  0 866280 4726256  16500 694900    0    0     0     3  168   96  0  0 100  0  0
 0  0 866280 4726256  16508 694904    0    0     0     5  176  107  0  0 100  0  0
 0  0 866280 4726288  16516 694904    0    0     0     2  169   98  0  0 100  0  0
 0  0 866280 4726288  16524 694904    0    0     0     2  178   96  0  0 100  0  0
 0  0 866280 4726288  16532 694908    0    0     0     4  185  106  0  0 100  0  0
 0  0 866280 4726064  16540 694908    0    0     0     6  173  106  0  0 100  0  0
 0  0 866280 4725812  16548 695224  121    0   152     2  224  139  0  0 100  0  0
 0  0 866280 4729420  16556 695224    0    0     0     3  179   99  0  0 100  0  0
 0  0 866280 4729676  16564 695228    0    0     0     4  164   95  0  0 100  0  0
 0  0 866280 4729740  16580 695236    1    0     1     9  173  100  0  0 100  0  0
 0  0 866280 4729488  16588 695236    3    0     3     6  182  106  0  0 100  0  0
 0  0 866280 4729488  16596 695236    0    0     0     2  170  105  0  0 100  0  0
 0  0 866280 4729264  16604 695248    2    0     2     9  172  100  0  0 100  0  0
 0  0 866280 4729264  16612 695248    0    0     0     4  167   93  0  0 100  0  0
 0  0 865512 4704852  17524 716832   74    0  2318    14  489  466  0  0 99  0  0
 0  0 865512 4707008  17532 716832    8    0     8    29  218  146  0  0 100  0  0
 0  0 865256 4692856  17916 720672  254    0   675     9  308  233  0  0 100  0  0
 0  0 865256 4702072  17924 720672    0    0     0     3  172  104  0  0 100  0  0
 0  0 865256 4702072  17932 720672    0    0     0     2  171   91  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 865256 4702072  17940 720672    0    0     0     4  167   91  0  0 100  0  0
 0  0 865256 4701880  17948 720672    0    0     0     2  167   99  0  0 100  0  0
 0  0 865256 4701656  17956 720676    0    0     0     4  169  100  0  0 100  0  0
 0  0 865256 4701656  17964 720676    0    0     0     3  185  106  0  0 100  0  0
 0  0 865256 4699668  18112 723248  148    0   318     4  250  197  0  0 100  0  0
 0  0 865256 4699668  18120 723248    0    0     0     2  181  108  0  0 100  0  0
 0  0 865256 4699444  18128 723252    1    0     1     4  162   95  0  0 100  0  0
 0  0 865256 4699444  18136 723252    0    0     0     3  167   95  0  0 100  0  0
 0  0 865256 4699444  18144 723252    0    0     0     4  187  104  0  0 100  0  0
 0  0 865256 4699220  18152 723252    0    0     0     2  175  102  0  0 100  0  0
 0  0 865256 4699220  18160 723256    0    0     0     4  174  109  0  0 100  0  0
 0  0 865256 4699220  18168 723256    0    0     0     3  167   96  0  0 100  0  0
 0  0 865256 4699220  18176 723256    0    0     0     4  176  101  0  0 100  0  0
 0  0 865256 4699220  18184 723256    0    0     0     2  160   97  0  0 100  0  0
 0  0 865256 4699220  18192 723260    0    0     0     4  177  108  0  0 100  0  0
 0  0 865256 4698720  18208 723264    2    0     2    26  206  123  0  0 100  0  0
 0  0 865256 4698720  18216 723264    0    0     0     8  176  108  0  0 100  0  0
 0  0 865256 4698528  18224 723264    0    0     0     2  193  109  0  0 100  0  0
 0  0 865256 4698528  18232 723264    0    0     0     2  175  100  0  0 100  0  0
 0  0 865256 4698528  18240 723268    0    0     0     4  166   99  0  0 100  0  0
 0  0 865256 4698528  18248 723268    0    0     0     4  173  104  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 865256 4698500  18256 723268    0    0     0     2  184  103  0  0 100  0  0
 0  0 865256 4698452  18264 723268    0    0     0     2  187  117  0  0 100  0  0
 0  0 865256 4698260  18272 723272    0    0     0     4  178  104  0  0 100  0  0
 0  0 865256 4698036  18280 723272    0    0     0     4  161   97  0  0 100  0  0
 0  0 865256 4697812  18312 723272    0    0     0    12  182  110  0  0 100  0  0
 0  0 865256 4697812  18320 723276    0    0     0     3  186  103  0  0 100  0  0
 0  0 865256 4697588  18328 723280    0    0     0     4  181  100  0  0 100  0  0
 0  0 865256 4697364  18336 723280    0    0     0    10  185  107  0  0 100  0  0
 0  0 865256 4697140  18344 723280    0    0     0     2  170   98  0  0 100  0  0
 0  0 865256 4697140  18352 723280    0    0     0     2  168   97  0  0 100  0  0
 0  0 865256 4697140  18360 723284    0    0     0     4  164   99  0  0 100  0  0
 0  0 865256 4697140  18368 723284    1    0     1     4  180  108  0  0 100  0  0
 0  0 865256 4696664  18376 723284    2    0     2     2  195  116  0  0 100  0  0
 0  0 865256 4696664  18384 723284    1    0     1     2  180  113  0  0 100  0  0
 0  0 865256 4696440  18392 723288    0    0     0     3  179  109  0  0 100  0  0
 0  0 865256 4695992  18400 723288    0    0     0     5  193  126  0  0 100  0  0
