Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

17:36:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:36:10     all    0,44    0,00    0,13    0,38    0,00    0,00    0,00    0,00    0,00   99,06
17:36:10       0    1,01    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   98,49
17:36:10       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:36:10       2    0,00    0,00    0,50    1,99    0,00    0,00    0,00    0,00    0,00   97,51
17:36:10       3    0,50    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00   98,99
17:36:10       4    0,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:36:10       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:36:10       6    1,50    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00   98,00
17:36:10       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

17:36:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:36:12     all    0,19    0,00    0,00    0,19    0,00    0,00    0,00    0,00    0,00   99,62
17:36:12       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:36:12       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:36:12       2    0,50    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00   98,49
17:36:12       3    0,00    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00   99,50
17:36:12       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:36:12       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:36:12       6    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:36:12       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

17:36:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:36:14     all    0,19    0,06    0,12    0,69    0,00    0,00    0,00    0,00    0,00   98,94
17:36:14       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:36:14       1    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:36:14       2    0,00    0,00    0,00    5,00    0,00    0,00    0,00    0,00    0,00   95,00
17:36:14       3    1,49    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   98,02
17:36:14       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:36:14       5    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:36:14       6    0,00    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00   99,50
17:36:14       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

Среднее:  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Среднее:  all    0,27    0,02    0,08    0,42    0,00    0,00    0,00    0,00    0,00   99,21
Среднее:    0    0,34    0,00    0,17    0,00    0,00    0,00    0,00    0,00    0,00   99,50
Среднее:    1    0,00    0,00    0,17    0,00    0,00    0,00    0,00    0,00    0,00   99,83
Среднее:    2    0,17    0,00    0,17    2,67    0,00    0,00    0,00    0,00    0,00   97,00
Среднее:    3    0,67    0,00    0,17    0,33    0,00    0,00    0,00    0,00    0,00   98,83
Среднее:    4    0,17    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,83
Среднее:    5    0,00    0,17    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,83
Среднее:    6    0,83    0,00    0,00    0,33    0,00    0,00    0,00    0,00    0,00   98,83
Среднее:    7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
