procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 733244 3151072  56524 902736  199  411  5622   472  828  963  5  8 85  2  0
 1  0 733244 3126152  56644 902776    0    0     0   178 4421 5449  1  1 97  1  0
 1  0 733244 3102716  56772 902788    0    0     0   184 4082 5088  1  1 97  1  0
 0  0 733244 3079308  56860 902800    0    0     0   118 4222 5264  1  1 98  1  0
 0  0 733244 3053856  56916 902808    0    0     0    80 4324 5344  1  1 97  1  0
 2  0 733244 3027424  56980 902820    0    0     0   100 4066 4992  1  1 98  0  0
 0  0 733244 3004240  57092 903052   14    0   120   152 4344 5421  1  1 97  1  0
 0  0 733244 2978536  57156 903068    0    0     0   118 4236 5220  1  1 97  1  0
 0  0 733244 2953084  57260 903084    0    0     0   142 4145 5129  1  1 98  1  0
 0  0 733244 2927412  57348 903096    0    0     0   110 4287 5287  1  1 98  1  0
 0  0 733244 2902968  57444 903108    0    0     0   190 4108 5042  1  1 97  1  0
 0  0 733044 2873260  58144 903840  842    0  1484   140 4558 5536  1  1 97  1  0
 1  0 733044 2849068  58248 903856    0    0     0   168 4203 5224  1  1 97  1  0
 0  1 733044 2821880  58352 903872    0    0     0   136 4221 5213  1  1 97  1  0
 0  0 733044 2798192  58440 903940    6    0    30   246 4333 5401  1  1 97  1  0
 0  0 733020 2773276  58560 903952   14    0    14   168 4494 5564  1  1 97  1  0
 0  0 733016 2748356  58664 903960    0    0     0   140 4328 5352  1  1 97  1  0
 0  0 733016 2730464  58784 903984    2    0     2   164 4565 5723  1  1 97  1  0
 0  0 733012 2730496  58872 903996   36    0    36   124 4075 5089  1  1 98  0  0
 0  0 733012 2712196  59000 903984    2    0     2   168 4222 5231  1  1 97  1  0
 0  0 733012 2688508  59136 904024    0    0     0   174 4401 5559  1  1 97  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 733012 2670140  59208 904036    0    0     0   110 4218 5168  1  1 97  1  0
 0  1 733012 2650484  59344 904044    0    0     0   176 4054 5008  1  1 98  1  0
 0  0 732996 2630576  59392 904064    8    0     8    80 4197 5128  1  1 97  0  0
 1  0 732916 2608932  59552 904080   20    0    20   196 4321 5493  1  1 97  1  0
 0  0 732916 2588016  59624 904096   12    0    12   146 4277 5265  2  1 97  1  0
 1  0 732916 2564580  59744 904108    0    0     0   160 4197 5312  1  1 97  1  0
 0  0 732916 2540388  59888 904124    0    0     0   182 4338 5606  2  1 97  1  0
 0  0 732916 2518492  59968 904144    0    0     0   140 3998 4996  1  1 97  1  0
 0  0 732916 2495056  60072 904152    0    0     0   138 3989 5077  1  1 97  1  0
 0  1 732916 2471620  60160 904172    0    0     0   128 4101 5150  1  1 97  1  0
 0  0 732916 2450480  60264 904180    0    0     0   150 4226 5226  1  1 97  1  0
 0  0 732916 2428336  60360 904196    0    0     0   144 4121 5075  1  1 97  1  0
 0  1 732916 2406916  60476 904208    0    0     0   170 4055 4979  1  1 98  1  0
 1  0 732916 2380764  60572 904224    0    0     0   146 4152 5048  1  1 97  1  0
 0  0 732916 2361612  60692 904240    0    0     0   176 4235 5220  1  1 97  1  0
 0  0 732916 2338176  60828 904252    0    0     0   176 4255 5402  1  1 97  1  0
 0  0 732916 2313764  60964 904264    2    0     2   196 4368 5440  1  1 97  1  0
 0  0 732916 2288816  61044 904284    0    0     0   120 4177 5198  1  1 97  1  0
 0  0 732916 2263644  61212 904296    0    0     0   224 4278 5370  1  1 97  1  0
 1  0 732916 2242000  61284 904304    0    0     0   110 4246 5290  2  1 97  1  0
 0  0 732916 2208156  61396 904320    0    0     0   162 4371 5440  1  1 97  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 732836 2182732  61548 904340   16    0    16   216 4399 5472  1  1 97  1  0
 0  0 732836 2164416  61644 904356    0    0     0   150 4108 4988  1  1 97  0  0
 0  1 732836 2139524  61764 904364    0    0     0   162 4235 5168  1  1 97  1  0
 0  0 732832 2101252  61844 904384    2    0     2   108 4225 5136  1  1 97  1  0
 1  0 732828 2080868  61996 904400    0    0     0   230 4620 5697  2  1 96  1  0
 0  1 732828 2057964  62060 904416    0    0     0   120 4240 5225  1  1 98  1  0
 0  0 732828 2031000  62164 904428    0    0     0   160 4262 5317  2  1 97  1  0
 0  0 732828 2006836  62220 904436    0    0     0    80 4281 5225  2  1 97  1  0
