Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

17:36:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:36:21     all    1,45    0,00    0,88    0,76    0,00    0,00    0,00    0,00    0,00   96,91
17:36:21       0    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,97
17:36:21       1    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:36:21       2    1,50    0,00    1,50    3,50    0,00    0,00    0,00    0,00    0,00   93,50
17:36:21       3    2,01    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   97,49
17:36:21       4    3,00    0,00    1,50    2,00    0,00    0,00    0,00    0,00    0,00   93,50
17:36:21       5    1,52    0,00    1,01    0,51    0,00    0,00    0,00    0,00    0,00   96,97
17:36:21       6    0,00    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   99,49
17:36:21       7    1,52    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,46

17:36:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:36:23     all    1,26    0,00    0,57    0,50    0,00    0,13    0,00    0,00    0,00   97,54
17:36:23       0    1,52    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,98
17:36:23       1    1,51    0,00    1,01    0,00    0,00    0,50    0,00    0,00    0,00   96,98
17:36:23       2    2,54    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   96,95
17:36:23       3    1,51    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   97,99
17:36:23       4    0,51    0,00    0,51    4,06    0,00    0,00    0,00    0,00    0,00   94,92
17:36:23       5    0,51    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:36:23       6    1,52    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,97
17:36:23       7    0,50    0,00    0,50    0,00    0,00    0,50    0,00    0,00    0,00   98,50

17:36:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:36:25     all    1,20    0,00    0,76    0,63    0,00    0,13    0,00    0,00    0,00   97,29
17:36:25       0    1,53    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,45
17:36:25       1    1,52    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00   97,47
17:36:25       2    3,02    0,00    1,51    1,01    0,00    0,00    0,00    0,00    0,00   94,47
17:36:25       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:36:25       4    1,00    0,00    1,00    3,50    0,00    0,50    0,00    0,00    0,00   94,00
17:36:25       5    0,00    0,00    1,00    0,00    0,00    0,50    0,00    0,00    0,00   98,50
17:36:25       6    1,52    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,98
17:36:25       7    1,01    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   98,49

17:36:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:36:27     all    1,45    0,06    0,57    0,44    0,00    0,00    0,00    0,00    0,00   97,48
17:36:27       0    2,53    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,46
17:36:27       1    1,52    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,47
17:36:27       2    3,06    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   95,92
17:36:27       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:36:27       4    1,02    0,00    0,00    3,55    0,00    0,00    0,00    0,00    0,00   95,43
17:36:27       5    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:36:27       6    2,01    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   97,49
17:36:27       7    1,51    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   97,99

17:36:27     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
