Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

17:46:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:46:45     all    0,13    0,00    0,06    0,25    0,00    0,00    0,00    0,00    0,00   99,56
17:46:45       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:46:45       1    0,50    0,00    0,50    2,00    0,00    0,00    0,00    0,00    0,00   97,00
17:46:45       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:46:45       3    0,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:46:45       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:46:45       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:46:45       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:46:45       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

17:46:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:46:47     all    0,06    0,00    0,19    0,13    0,00    0,00    0,00    0,00    0,00   99,62
17:46:47       0    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:46:47       1    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:46:47       2    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:46:47       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:46:47       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:46:47       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:46:47       6    0,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:46:47       7    0,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00   99,00

17:46:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:46:49     all    0,00    0,00    0,19    0,19    0,00    0,00    0,00    0,00    0,00   99,62
17:46:49       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:46:49       1    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:46:49       2    0,00    0,00    0,00    1,51    0,00    0,00    0,00    0,00    0,00   98,49
17:46:49       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:46:49       4    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:46:49       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:46:49       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:46:49       7    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50

Среднее:  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Среднее:  all    0,06    0,00    0,15    0,19    0,00    0,00    0,00    0,00    0,00   99,60
Среднее:    0    0,00    0,00    0,17    0,00    0,00    0,00    0,00    0,00    0,00   99,83
Среднее:    1    0,17    0,00    0,50    0,67    0,00    0,00    0,00    0,00    0,00   98,66
Среднее:    2    0,00    0,00    0,17    0,50    0,00    0,00    0,00    0,00    0,00   99,33
Среднее:    3    0,17    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,83
Среднее:    4    0,00    0,00    0,17    0,00    0,00    0,00    0,00    0,00    0,00   99,83
Среднее:    5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Среднее:    6    0,17    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,83
Среднее:    7    0,00    0,00    0,17    0,33    0,00    0,00    0,00    0,00    0,00   99,50
