procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 874728 5333468   7196 151744    0    0     0     6  180  107  0  0 100  0  0
 1  0 873960 5210504   8636 237204 3506    0 46934     0 2289 2573  2  1 96  1  0
 0  0 870632 5133916  12212 258036 3742    0 15738  2708 5549 4392  7  8 83  2  0
 0  0 870632 5140864  12212 258036    0    0     0     8  197  131  0  0 100  0  0
 0  0 870632 5147684  12216 258048    2    0     4   196  238  169  0  0 100  0  0
 2  0 870376 5152548  13108 250884  524    0 31756   228 1782  976  3  2 95  1  0
 1  0 869352 4674636  14092 689680 2160    0 151035     8 3558 1567  9  3 86  1  0
 0  0 869352 4660656  14092 689972   32    0    78     0 1419  478  8  1 90  0  0
 0  0 868840 4673720  14128 690028  208    0   220 26760  525  336  0  0 99  1  0
 0  0 868840 4693996  14128 690032    0    0     0     6  162  102  0  0 100  0  0
 0  0 868840 4710856  14160 690080    0    0    12 42478  685  378  0  1 99  1  0
 0  0 868840 4719200  14176 690080   20    0    20    56  216  137  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 868840 4725876  14176 690080    6    0     6     8  212  160  0  0 100  0  0
 0  0 868840 4731016  14176 690080    2    0     2    48  190  110  0  0 100  0  0
 0  0 868840 4735392  14184 690076    0    0     0    14  183  113  0  0 100  0  0
 0  0 868840 4736984  14184 690084    0    0     0     8  159   95  0  0 100  0  0
 0  0 868840 4738556  14184 690084    8    0     8     0  181  112  0  0 100  0  0
 0  0 868840 4741084  14192 690084    0    0     0    14  165  102  0  0 100  0  0
 0  0 868840 4742564  14192 690092    0    0     0    10  184  115  0  0 100  0  0
 0  0 868840 4742628  14192 690092   36    0    36     0  192  118  0  0 100  0  0
 0  0 868840 4742628  14200 690084    0    0     0    18  168  109  0  0 100  0  0
 0  0 868840 4742628  14200 690092    0    0     0     6  153   91  0  0 100  0  0
 0  0 868840 4742404  14200 690096    0    0     0     0  190   99  0  0 100  0  0
 0  0 868840 4742504  14208 690088    0    0     0    18  170  101  0  0 100  0  0
 0  0 868840 4742536  14208 690096   10    0    10     8  204  127  0  0 100  0  0
 0  0 868840 4742536  14208 690096    0    0     0     0  176   95  0  0 100  0  0
 0  0 868840 4742600  14216 690100    0    0     0    14  194  111  0  0 100  0  0
 0  0 868840 4742600  14216 690100    0    0     0     8  160   88  0  0 100  0  0
 1  0 868840 4698532  14488 690164   62    0   226     0 1106  341  7  1 92  0  0
 0  0 868840 4705976  14772 690220   20    0   188    28  501  232  3  0 97  0  0
 0  0 868840 4716084  14772 690232    0    0     0     6  189  114  0  0 100  0  0
 0  0 868840 4715892  14772 690232    0    0     0     0  166  100  0  0 100  0  0
 0  0 868584 4723504  14780 690232   20    0    20    28  205  151  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 868584 4723504  14780 690232    0    0     0     8  170  105  0  0 100  0  0
